name,reference,food_interactions
Roxadustat,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Food can decrease Cmax but not to a clinically significant extent.']
Febuxostat,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. A high fat meal decreases Cmax and AUC in a clinically insignificant way.']
Dronedarone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Co-administration with grapefruit may increase drug concentrations by 3-fold.', ""Avoid St. John's Wort. This herb induces CYP3A4 and may increase the serum concentration of dronedarone."", 'Take with food. Food, especially high-fat food, increases drug absorption.']"
Nebivolol,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with or without food.']"
Nilotinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of nilotinib, causing increased serum levels of nilotinib.', ""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of nilotinib."", 'Take on an empty stomach. Food increases the AUC of nilotinib. Separate nilotinib administration from meals by at least one hour before and two hours after eating.']"
Lorcaserin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Vildagliptin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. Food reduces Cmax and delays Tmax, but not in a clinically significant way.']"
Bepotastine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Orally formulated bepotastine bioavailability is not significantly impacted by food.']
Milnacipran,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. Avoid excessive or chronic alcohol consumption. Milnacipran may worsen liver disease, which is potentially caused by excessive alcohol use.', 'Take with or without food. Taking milnacipran with food may improve its tolerability.']"
Ximelagatran,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Flibanserin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. Avoid alcohol. Ingesting alcohol may increase the CNS depressant and hypotensive effects of flibanserin. If you have consumed two drinks, wait two hours before taking flibanserin. Do not take flibanserin if you have consumed more than three drinks.', 'Avoid grapefruit products.', ""Avoid St. John's Wort."", 'Take with or without food. Taking flibanserin with food (especially a high-fat meal) may increase its AUC, Cmax, and Tmax.']"
Desmoteplase,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Defibrotide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Ospemifene,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food.']
Crofelemer,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Iloperidone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. Alcohol may worsen the CNS effects of iloperidone, such as dizziness.', 'Take with or without food. A high-fat meals may delay the Tmax of iloperidone and its metabolites, without significantly changing the Cmax or AUC.']"
Lofexidine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. Lofexidine may potentiate the CNS depressant effects of alcohol.', 'Take with or without food.']"
Pirfenidone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take at the same time every day.', 'Take with food. Food decreased the rate and extent of absorption. Food reduces the incidence of drug-related adverse reactions.']"
Ezogabine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. High-fat meals alter drug absorption, but not to a clinically significant extent.']"
Ingenol mebutate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Migalastat,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid caffeine. Co-administration of GALAFOLD with caffeine decreases migalastat AUC and Cmax which may reduce its efficacy.', 'Take at the same time every day.', 'Take on an empty stomach. Avoid eating for at least two hours before and after taking migalastat.']"
Arimoclomol,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Food has negligible effects on the pharmacokinetics of arimoclomol.']
Abaloparatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Administer vitamin supplements. If dietary intake is inadequate, patients should receive supplemental calcium and vitamin D.', 'Take at the same time every day.', 'Take with or without food.']"
Ganaxolone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with food. Co-administration with food increases ganaxalone Cmax and AUC by 3- and 2-fold, respectively. In clinical trials to establish efficacy, ganaxolone was administered with food.']"
Ancrod,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Trabectedin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. There may be an additive hepatotoxic effect if alcohol and trabectedin are coadministered.', ""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of trabectedin."", 'Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of trabectedin.']"
Pretomanid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. Consuming alcohol may increase the risk of hepatotoxicity.', 'Take with food.']"
Elafibranor,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. A high-fat and high-calorie meal delays Tmax and decreases Cmax and AUC, but not to a clinically significant extent.']"
Beraprost,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Cobimetinib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits the metabolism of cobimetinib through the CYP3A4 pathway and, therefore, may increase serum levels of cobimetinib.', ""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of cobimetinib."", 'Take with or without food. Cobimetinib bioavailability is unaffected by food.']"
Methsuximide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with food.']"
Vandetanib,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of vandetanib.', ""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum levels of vandetanib."", 'Take with or without food.']"
Pimavanserin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Dose adjustment may be necessary if taking grapefruit products or other CYP3A4 inhibitors.', ""Avoid St. John's Wort. This may induce the CYP3A4 metabolism of pimavanserin, which may cause reduced efficacy."", 'Take with or without food.']"
Dexlansoprazole,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. It may induce the CYP3A4 metabolism of dexlansoprazole, possibly leading to reduced efficacy."", ""Take with or without food. Dexlansoprazole's dual delayed release formulation allows it to be taken without regard to food in contrast to other PPIs.""]"
Iodine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid goitrogenic foods. These include soy, cassava, cabbage, broccoli, cauliflower, and other cruciferous vegetables.']"
Palovarotene,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit-containing products may inhibit the CYP3A4 activity responsible for palovarotene metabolism.', ""Avoid St. John's Wort. The significant induction of CYP3A4 metabolism caused by St. John's wort may decrease the effectiveness of palovarotene."", 'Take with food. Co-administration with food increases the oral absorption of palovarotene.']"
Mavorixafor,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take on an empty stomach. Take drug after an overnight fast, 30 minutes before food. Food decreases drug exposure.', 'Take with or without food. Grapefruit may decrease mavorixafor metabolism and increase the risk of drug adverse reactions.']"
Telaprevir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. St. John's Wort will decrease levels of this medication.""]"
Mipomersen,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid excessive or chronic alcohol consumption. Alcohol may increase the risk of liver injury.']
Brivaracetam,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid alcohol. Taking Brivaracetam with alcohol may increase alcohol's effects on attention, memory, and psychomotor functioning."", 'Take with or without food.']"
Levoketoconazole,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. Concomitant alcohol consumption may result in a disulfiram-like reaction characterized by rash, flushing, peripheral edema, nausea, and headache. These symptoms typically subside within hours.', 'Take with or without food. In healthy subjects administered a single 600 mg oral dose of levoketoconazole, a high-fat meal increased the AUC by 30% with no change in the maximum plasma concentration but a delay to reach this value of between two and four hours. These changes are not considered clinically significant.']"
Apremilast,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. Apremilast is a CYP3A substrate; therefore, co-administration with St. John's wort, a CYP3A inducer, may reduce the serum level of apremilast."", 'Take with or without food.']"
Trastuzumab emtansine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Trastuzumab emtansine undergoes metabolism through CYP3A4 therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase serum levels of trastuzumab emtansine.']"
Abiraterone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Exercise caution with St. John's Wort. This herb induces CYP3A4 and may increase the serum levels of abiraterone."", 'Take on an empty stomach. Food increases Cmax and AUC. Take ZYTIGA , a product of abiraterone, at least 1 hour before or 2 hours after eating as food may increase exposure to abiraterone by 4-fold.', 'Take with or without food. Food increases Cmax and AUC. YONSA, a product of abiraterone, can be taken with or without food.']"
Obeticholic acid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Cariprazine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. Given the primary central nervous system effects of cariprazine, cariprazine should be used with caution in combination with alcohol.', 'Avoid grapefruit products. Grapefruit is a known CYP3A4 inhibitor. It may increase drug levels and elevate the risk of drug adverse effects.', ""Avoid St. John's Wort. St John’s Wort is a known CYP3A4 inducer. It may significantly decrease drug exposure and alter drug efficacy."", 'Take with or without food. A high-fat, high-calorie meal may delay Tmax, but food generally has no significant effect on drug exposure.']"
Trofinetide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Food decreases Cmax of trofinetide but has negligible effects on total drug exposure.']
Lumateperone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of lumateperone, which may increase its serum concentration.', ""Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of lumateperone, causing a reduction in its serum concentration."", 'Take with food. Administration with food reduces the Cmax by 33% and prolongs the Tmax by one hour.']"
Cenobamate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. Alcohol may increase somnolence and sedation.', 'Take with or without food.']"
Spiramycin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['No food interactions are expected.']
Nylidrin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Pizotifen,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Pentaerythritol tetranitrate,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. Food delays drug absorption, but not to a significant extent.']"
Canakinumab,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Romidepsin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of romidepsin.', ""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of romidepsin.""]"
Rufinamide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food. Food can increase the absorption of rufinamide.']
Alogliptin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Tapentadol,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. Due to the additive pharmacological effect, the concomitant use with alcohol increases the risk for central nervous system depression, respiratory depression, profound sedation, coma, and death.', 'Take with or without food. A high-fat, high-calorie meal increases absorption, but not to a clinically significant extent.']"
Silodosin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food. A moderate fat or calorie meal decreases drug exposure as well as the risk of adverse effects.']
Prasugrel,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', 'Take with or without food.']"
Eltrombopag,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid multivalent ions. Polyvalent cations in food or supplements will be chelated by eltrombopag; therefore, they should be separated by 4 hours before or 2 hours after taking eltrombopag.', 'Take on an empty stomach. Separate the administration of eltrombopag from food by at least 1 hour before and 2 hours after eating.']"
Tolvaptan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. This may increase the risk of developing osmotic demyelination syndrome.', 'Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of tolvaptan, which may increase its serum concentration.', ""Avoid St. John's Wort. This herb induces the CYP3A metabolism of tolvaptan and may reduce its serum concentration."", 'Take with or without food.']"
Regadenoson,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid caffeine. Do not consume caffeine for at least 12 hours before the administration of regadenoson as caffeine can reduce the ability to detect ischemic changes.']
Asenapine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take separate from meals. Do not have food or water for 10 minutes after administration.']
Lacosamide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Food does not affect the rate and extent of absorption.']
Rivaroxaban,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.', ""Avoid St. John's Wort. Co-administration will decrease levels of this medication."", 'Take with food. Rivaroxaban 15-20mg dose should be taken with food as food significantly impacts the bioavailability at that dose.', 'Take with or without food. Rivaroxaban 10mg dose can be taken with or without food as it does not significantly impact the bioavailability at that dose.']"
Nalmefene,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. High-fat food increases the AUC by 30% and Cmax by 50% and delays Tmax by 30 min, but this is unlikely of clinical relevance.']"
Maribavir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","[""Avoid St. John's Wort. Co-administration with St. John's wort decreases serum levels of maribavir and may decrease its therapeutic efficacy."", 'Take with or without food. The co-administration of food with maribavir does not significantly affect its disposition.']"
Avanafil,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption. Substantial alcohol consumption (e.g. >3 units) in combination with avanafil may increase the risk of hypotension.', 'Take with or without food. High-fat meals slow absorption, but not to a clinically significant extent.']"
Eflornithine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Droxidopa,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Take consistently with regard to food.']
Sitaxentan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
Sulodexide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']"
Alvimopan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. High-fat meals may reduce the Cmax and AUC by 38% and 21%, respectively; however, the clinical significance of this is unknown.']"
Levocetirizine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with or without food.']"
Ziconotide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the CNS depressive effects of ziconotide.']
Teriparatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food.']
